January,February,March ,April,May ,June,July,August,September
False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False
False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False
