Month,PLAYER,OPPONENT,Goals,Assists,Shots on Target,Foul Suffered,Offside,Yellow Card,Red Card,Result
September,Andre Iniesta,KANKAN,0,0,0,0,0,0,0,L
July,Andre Iniesta,SANSAN,0,0,0,0,0,0,0,L
July,Andre Iniesta,OITOIT,0,0,0,0,0,0,0,L
July,Andre Iniesta,KREKRE,1,0,1,0,0,0,0,L
July,Andre Iniesta,YOKYOK,1,0,,0,0,0,0,W
July,Andre Iniesta,NAGNAG,1,0,1,0,0,0,0,W
July,Andre Iniesta,CONCON,0,0,0,0,,0,0,W
July,Andre Iniesta,SAGSAG,1,0,1,0,0,0,0,W
June,Andre Iniesta,NAGNAG,0,0,0,0,0,0,0,L
June,Andre Iniesta,CERCER,0,0,0,0,0,0,0,L
March,Andre Iniesta,FCTFCT,0,0,,0,0,0,0,L
February,Andre Iniesta,KREKRE,0,0,0,0,0,0,0,L
February,Andre Iniesta,KANKAN,0,0,0,0,0,1,0,L
February,Andre Iniesta,VEGVEG,0,0,0,0,,0,0,L
January,Andre Iniesta,CONCON,0,0,0,0,0,0,0,W
January,Andre Iniesta,GAMGAM,0,0,0,0,0,0,0,L
January,Andre Iniesta,CERCER,0,0,0,0,0,0,0,L
January,Andre Iniesta,SHISHI,0,0,0,0,0,0,0,W
February,Andre Iniesta,SAGSAG,0,0,0,0,0,0,0,W
February,Andre Iniesta,SANSAN,0,0,0,0,0,0,0,L
February,Andre Iniesta,Yokohama FCYokohama FC,0,0,0,0,0,0,0,L
January,Andre Iniesta,CERCER,0,0,0,,0,0,0,W
January,Andre Iniesta,NAGNAG,0,0,0,0,0,0,0,L
February,Andre Iniesta,VEGVEG,0,0,0,0,0,0,0,W
February,Andre Iniesta,SANSAN,0,0,0,0,0,0,0,L
February,Andre Iniesta,KAWKAW,0,0,0,0,0,0,0,W
September,Andre Iniesta,SAGSAG,1,0,1,0,0,0,0,W
September,Andre Iniesta,URAURA,1,0,1,0,0,0,0,W
August,Andre Iniesta,OITOIT,0,0,0,0,0,0,0,W
August,Andre Iniesta,GAMGAM,1,0,,0,0,0,0,L
May,Andre Iniesta,YOKYOK,0,0,0,0,0,0,0,L
April,Andre Iniesta,SHOSHO,0,0,0,0,0,0,0,L
March,Andre Iniesta,SHISHI,0,0,0,0,0,0,0,L
March,Andre Iniesta,NAGNAG,2,0,2,0,0,0,0,W
February,Andre Iniesta,FCTFCT,1,0,1,0,0,0,0,W
February,Andre Iniesta,KANKAN,0,0,0,0,0,0,0,L
February,Andre Iniesta,KAWKAW,0,0,0,0,0,0,0,L
January,Andre Iniesta,SANSAN,0,0,0,0,0,0,0,L
January,Andre Iniesta,MATMAT,0,0,0,,0,1,0,L
February,Andre Iniesta,GAMGAM,0,0,0,0,0,0,0,W
February,Andre Iniesta,SHISHI,0,0,0,0,0,0,0,W
February,Andre Iniesta,VEGVEG,0,0,0,0,0,0,0,W
February,Andre Iniesta,SAGSAG,0,0,0,0,0,0,0,W
February,Andre Iniesta,CERCER,0,0,,0,0,0,0,L
January,Andre Iniesta,VEGVEG,1,0,1,0,0,0,0,W
January,Andre Iniesta,SHISHI,0,0,0,0,0,0,0,W
January,Andre Iniesta,SAGSAG,0,0,0,0,0,0,0,W
February,Andre Iniesta,NAGNAG,0,0,0,,0,0,0,W
February,Andre Iniesta,KAWKAW,0,0,0,0,0,0,0,L
September,Andre Iniesta,VVNVVN,0,0,0,0,0,0,0,L
July,Andre Iniesta,GAMGAM,0,0,0,0,0,,0,L
September,Andre Iniesta,CONCON,0,0,0,0,0,0,0,L
September,Andre Iniesta,YOKYOK,0,0,0,,,0,0,L
September,Andre Iniesta,SHOSHO,0,0,0,0,0,0,0,W
August,Andre Iniesta,SANSAN,1,0,1,0,,0,0,W
August,Andre Iniesta,JUBJUB,1,0,1,0,0,0,0,W
August,Andre Iniesta,KREKRE,0,0,0,0,0,0,0,W
August,Andre Iniesta,SHOSHO,0,0,0,0,0,0,0,L
